date,note,amount,transaction type,Category,account Name
1/1/18,Amazon,11.11,debit,Shopping,Platinum Card
1/2/18,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
1/2/18,Thai Restaurant,24.22,debit,Restaurants,Silver Card
1/3/18,Credit Card Payment,2298.09,credit,Credit Card Payment,Platinum Card
1/4/18,Netflix,11.76,debit,Movies & DVDs,Platinum Card
1/5/18,American Tavern,25.85,debit,Restaurants,Silver Card
1/6/18,Hardware Store,18.45,debit,Home Improvement,Silver Card
1/8/18,Gas Company,45,debit,Utilities,Checking
1/8/18,Hardware Store,15.38,debit,Home Improvement,Silver Card
1/9/18,Spotify,10.69,debit,Music,Platinum Card
1/10/18,Phone Company,89.46,debit,Mobile Phone,Checking
1/11/18,Shell,34.87,debit,Gas & Fuel,Platinum Card
1/11/18,Grocery Store,43.54,debit,Groceries,Platinum Card
1/12/18,Biweekly Paycheck,2000,credit,Paycheck,Checking
1/13/18,Pizza Place,32.91,debit,Fast Food,Platinum Card
1/13/18,Amazon,39.05,debit,Shopping,Platinum Card
1/15/18,Grocery Store,44.19,debit,Groceries,Silver Card
1/15/18,American Tavern,64.11,debit,Restaurants,Silver Card
1/16/18,City Water Charges,35,debit,Utilities,Checking
1/16/18,Power Company,60,debit,Utilities,Checking
1/19/18,Biweekly Paycheck,2000,credit,Paycheck,Checking
1/20/18,Amazon,50.21,debit,Shopping,Platinum Card
1/22/18,Credit Card Payment,554.99,credit,Credit Card Payment,Platinum Card
1/22/18,Credit Card Payment,309.81,credit,Credit Card Payment,Silver Card
1/22/18,Credit Card Payment,554.99,debit,Credit Card Payment,Checking
1/22/18,Hardware Store,17.38,debit,Home Improvement,Silver Card
1/23/18,Credit Card Payment,309.81,debit,Credit Card Payment,Checking
1/24/18,Starbucks,3,debit,Coffee Shops,Platinum Card
1/25/18,Internet Service Provider,69.99,debit,Internet,Checking
1/29/18,Shell,30.42,debit,Gas & Fuel,Silver Card
1/29/18,Thai Restaurant,25,debit,Restaurants,Silver Card
1/29/18,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card
2/1/18,Grocery Store,27.79,debit,Groceries,Platinum Card
2/1/18,Amazon,11.11,debit,Shopping,Platinum Card
2/2/18,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
2/2/18,Biweekly Paycheck,2000,credit,Paycheck,Checking
2/3/18,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card
